What was your relationship like before the drinking?	We were friends but he had a drinking problem.
Are you under the impression that breast milk or formula is not vegan?	You can't milk a vegan.
Seriously, have you ever given birth?	I've been on birth control, but that's about it.
Its pointing out the obvious in a formal debate  By who?	The people who upvoted him.
But did everyone forget about the megatron rule?	I did. I was thinking of it but it didn't happen.
How does the word literally help?	It literally means literally.
Like Im just an animal and my vagina has a mind of its own and itll hop on some guys dick?	No, but you'll probably get on some guys'minds.
I guess some guys might be surprised by how dirty we are?	It's like we're wearing nothing at all... nothing at all... nothing at all...
What is so fucking detestable about thousands of people crying and screaming in happiness over a moment?	It's just a prank, bro.
But what the hell can you reasonably do in a ten minute time span?	I can't even do that. I'm too busy playing with my phone.
>Real costs of their models have literally nothing to do with their sales numbers, at all  Are you being intentionally stupid or did you not understand my point?	No, you're just ignorant.
Its not about making things uncomfortable?	It's about making them uncomfortable.
Blizzard might want to give a more polished product, but at what cost?	Blizzard might be able to get a better product, but at what cost?
Hanging around outside someones house and plastering stickers on a dumpster?	That's a really good idea actually. I would love to see that.
If you want something small enough for a cage, how about a hamster?	I've seen a few of those, but they're so tiny!!!
> Just too much parity nowadays for starters  What parity?	It's just that, parity.
But I am sure you are perfect in relationships, yea?	Oh, you know, I'm just really lucky!
Im upgrading to W10 tonight, in the meantime, what is happening to my PC?	I'm not sure if you're being serious, but if you're not serious : you're using a mac.
you... shouldnt be honest about things like that?	I am a human being, not a robot.
I know I can find something else to help with my mental issues, but when food is the only thing that guarantees a few hours of peace of mind and okay-ness, what do you do?	I'm trying to make myself feel better, I guess.
Some things to think about -- who is your legal guardian?	I don't have any guardians.
>Which Boston offer are you talking about?	I think it was the one with the free food and drinks.
Im the *only* person hes attracted to?	I don't know, but I would guess it is someone that is a fan.
Do you need a DVD drive?	I do not, but thanks for offer!
But who would really want competition?	Who would want competition when they can just buy a car and drive the same way they do now?
> Can you give me stats on how many more government agents died since legalization locally?	I don't have the source of the data, but I think the number is higher than that.
We havent won over a big name free agent (besides Dwight) since, who, TMac??	Tmac? I don't think so...
As for not being able to drive, can you ask your boyfriend to take you, or take the bus with you?	It's going to be a bus, so I'm not sure if she'll be able to take him...
You know that UFC fighting isnt the same as real fighting in real life dont you?	I'm pretty sure they were joking.
Want to talk about Dragon Soul recruitment?	Yes please!
>by predictive downloads do you mean game recommendations on your dashboard?	Yes, exactly
(: Afterward I was thinking about going to one of those...you know, associates schools?	I don't know, I'm not an associate.
What country are you living in?	I'm living in South Africa
Maybe Im too autistic to even show up outside?	Maybe you need a safe space.
> I dont believe I told you my political affiliations?	You should probably just ignore him, he's a spammer.
Want to drive more than an hour outside of town for the weekend?	I'm in the same boat.
Edit: how could i forget to mention that on average 50+% of our games are blacked out in any season that isnt 2006, 7, or 8?	That's actually a very good statistic.
They SEW fake hair to their SCALPS?	I wish!
Now, if /u/Vicous had PMed OP that in a less jokey, more oh God I got so hot reading your piss story on askreddit, could I get some deets?	You are a good man.
Why are only half the number of police convicted compared to civilians?	Because the police are more likely to be on the side of the criminals, and the police are more likely to be on the side of the victims.
Perhaps Im just magically friends with the only people in the world who dont have inappropriate crushes on their friends SOs???	I'm not alone!
You know what I also love?	I like to use the term'not so much'to refer to the'not so much'that is not very good ', as well.
Ask a vet nearby if you can report anything like animal abuse for this?	I will, I hope she's okay, but I'm not sure.
>  $15-20 per outfit on the market place  thats what people are crying for tho?	Yeah, I'm not complaining, I was just saying the market place would be better
Are you sure youre dating a 29 year old woman and not a toddler?	Haha, I'm not dating a toddler. I'm dating a woman with a baby.
The old boys club...among the electorate?	I thought that was the old boys club.
Can you compare Fallout 1/2 with 3 given the time difference and genre change?	I'm on it. I'll have to go through everything again, but it should be easy.
>Havent we been doing that for the last ten years?	You're right. I just realized that I posted this in a different sub.
How many schools from minor conferences schedule their games against opponents like Alabama hoping to generate revenue for their programs?	Not a single one.
>How exactly is Facebook or youtube a progression of technology that is beneficial?	I agree, but it's the only thing keeping me alive.
Is VS really considered to be that bad?	It's not bad, but it's definitely not good.
Its high paced and if you miss a shot, you haul your ass back on defense as quick as possible (really /r/nba?	You're not wrong, but I'm not gonna lie that's pretty much the only way I can describe my play style.
I know I can find something else to help with my mental issues, but when food is the only thing that guarantees a few hours of peace of mind and okay-ness, what do you do?	I don't go to the beach. I stay in my room all day long.
That is no beuno, you dig?	It's a bit too small. I'm thinking of a better one.
A news article linking to a dead video which supposedly had content that Im supposed to see?	I don't see any news links
Are you prepared to go your entire life without the financial and social security of a legal marriage?	Not at all, no.
All that magic rules set aside for Jews?	You just made my day.
When are you guys gonna start?	We have started for the last 3 days.
Are you adopting or kidnapping or something else?	I don't know what you're asking.
Do you have a source for that?	It's a meme on this sub.
Do you think its just too abnormal of a situation?	I don't know, I don't know, I don't know.
Wow are legit saying that unwanted sexual harassment is something that counts as if its something women should be thankful for?	I think it's more that the person is trying to make a joke and that it was a joke.
OMG, what happened to your boobs?!?	They're just a little too big.
Go through all that and NOT go into the industry?	I have a job in the industry and I'm already planning on going out and working in a few industries.
