g1,q1,r1,g2,q2,r2,g3,q3,r3,g4,q4,r4,g5,q5,r5,g6,q6,r6,g7,q7,r7,g8,q8,r8,g9,q9,r9,g10,q10,r10,g11,q11,r11,g12,q12,r12
W,What are your eating habits like?,I eat a lot of chicken.,W,Whats wrong with poking fun at yourself?,He's a troll,M,What else is wrong with it?,It's the only one in the city.,W,What if HOH loses the temptation comp?,It's not a comp.,M,What resolution do you game at?,"1080p, max settings.",M,How is Greece going to make money with the Drachma?,"I don't know, maybe by selling it to the Russians?",M,How are you not getting this?,I'm on mobile.,M,How the hell do you think Wikileaks gets their hands on this?,It's a private company. The people who work at Wikileaks don't have access to this data.,M,How many times in *history* have you had a duo on a team consisting of two players who are *unquestionably* the Top 3 All-Time in their respective positions?,Not enough,M,What are you planing on doing with your rig?,I'm going to do a lot of testing and testing and testing and testing and testing and testing and testing and testing and testing and testing and testing and testing...,M,What does someone like Wehrlein have to do?,The same thing we do every year.,M,How does the loudness of an F1 car at Indy compare to an Indy car at Indy?,"The loudness is about the same, but Indy is louder."
W,What is the point in waiting until something is going wrong to express your feelings?,I'm not saying that I want to wait. I'm saying that it would be nice to know that I was wrong and that something is going on.,W,What are your plans for the future?,I'm going to be a writer.,W,What can you learn from whatever problems youre faced with?,I can't help you with anything. But I am sure there is some advice you can give yourself if you don't want to give up.,M,Whatever happened to the public option / single-payer healthcare?,I believe that's just called the private option.,W,How do I know if Im allergic to penicillin?,How can you be allergic to penicillin?,M,What makes you think Im going through anything?,I think she's a bot.,W,How is your relationship with your mom?,"Not at all, she's a nice lady, I just don't like her.",W,What do you do for lean protein?,I usually just eat a few pieces of fruit and vegetables.,W,What about your needs and wishes?,"My needs are : a good job, a family, a house, and a family friend who is a very good friend of mine.",M,Who would you think was better?,I thought we were done with that debate,M,What is hardcore about walking 50 metres in a dungeon you have to run anyway to get gear for raids so you can enter the raid (molten core atunement) or running the instances you have to run for gear anyway to start raiding (BWL and kara) or a stupid long quest chain (onyxia) or grinding reputation (naxx 40)?,"You can do raids with a dungeon timer of less than 30 minutes, and you can't do raids without a dungeon timer of less than 30 minutes.",M,How many people are at that level?,I think I know 2.
M,How about you give the same attention to Tennessee or Mississippi State?,"The article is from 2007, so I'm not sure they're relevant.",M,How can a list of companies (which you explicitly asked for) carry any sort of implication?,I know. I was just explaining the meaning of the word in the title.,M,How could you give us anything but an A?,I think that's what she was going for.,W,Whats your hangup about period sex?,"I'd rather just not get a period, but it's not a problem if I have one!",W,What about Topomax for the treatment of migraines?,I don't know if I've ever heard of it,W,What do you think makes you ugly?,The fact that I'm not a man.,W,How can you draw so good?,"You can't, but I can. It's a secret.",W,How can people put up with that?,They are just trying to get a laugh out of the audience and get some laughs.,W,Whats wrong with taking care of your partners illegitimate (pun intended) feelings?,The word you're looking for is'feelings '.,M,"When a microbe splits into two, who can say which is the (older) original cell and which is the (brand new) split-off cell?",The cells are not related.,W,How long have you been using tampons?,About a week and a half.,M,How many of those teams won Super Bowls?,"None, but the Giants did win a Super Bowl."
M,What is at the core of our state really?,The core of our state is the people?,W,"What do you consider a dumb, innocent mistake?",That's a good question. I think the answer is a lot of things.,M,What is so fucking hard to understand about the enemy of my enemy is my friend?,The enemy of my enemy is my enemy's enemy.,M,What would that bring to him?,His wife.,M,Whats wrong with telling someone to step up and handle their problems with strength and stoicism?,It's an example of what not to do if you're trying to be a good human being.,W,What was your relationship like before the drinking?,"Not much, we've never been really good friends.",W,What reality do you live in?,"I'm from the US, we have a different definition of reality.",M,How much starcraft have you played?,"Only played once, but I was really into that.",M,Whats to say a qualified financial manager wont screw you over?,"I would say the same thing, but the financial manager has more than one person.",W,What is the point in waiting until something is going wrong to express your feelings?,I think the point is to get people to think about it.,W,Whats the female equivalent to emasculating?,Empowering?,M,How does going your own way solve any of those problems?,"I have no idea, I'm not a native speaker."
M,What if Cena wins at MITB and then Henry wins the WWE Championship match on Raw?,I'm thinking they're going to make him the WWE Championship and then he's gonna get a title match at WM.,W,"Whats next, youre going to tell people with depression related to chemical imbalance to just cheer up?","No, I'm telling people to stop making up depression related things.",W,How was the procedure for you?,I had a lot of questions but nothing like a lot of the others,W,"What, do you have a PH.D in cat psychology or can read the minds of cats or something?",I have a PH.D in cat psychology.,W,What are you guys reading that Im not?,The Hunger Games!,W,What kind of plugs do you wear?,I use my headphones as a pair.,M,"What the fuck did you just fucking say about me, you little bitch?",I can't believe you're done this.,M,When was the last Supreme Court case about burning jerseys?,Probably when he was a kid.,W,What kind of plugs do you wear?,I have a few of each. I use the cheap ones that come with the car.,M,Whens the last time that happened to a cyclist?,I'd say the first time was in the 50s.,W,How does that NOT HAPPEN to everyone else?,It does. I have friends who are in the same boat.,W,What if HOH loses the temptation comp?,Hoho's not going to win it
W,What else do you have to give a relationship?,A relationship with your mom.,W,Who says OP doesnt take the cat to the vet?,I think he's a dog.,W,What kind of breed is the oldest one?,I think it's a poodle.,W,"When I actually was pregnant, guys would say things like Ive always wondered what fucking a pregnant woman would be like, and  does your baby need a step-dad?","Haha, I remember that!",W,"What I find particularly interesting is the way some girls that knew me before I transitioned, who arent particularly supportive, have included me in girl talk a couple of times, somewhat instinctively?","That's interesting, but I'm afraid I'm not a girl.",M,What would proof even look like?,"You can see what is being typed, it's just the font used.",M,How do you even argue that?,"Well, it is an argument. I'm not arguing that.",M,What about just not making the trades?,I'm in.,M,How is what I said a constitutional argument?,You have to give your opponent credit for that one.,W,What the heck kind of bus drives though rural areas??,The best kind of bus.,W,What clever names have you given those 8 cats?,They're named after the cats in The Dark Knight Rises.,M,What if I told you I want to own $10 million worth of properties and drive an Aston Martin?,I would say that is a great idea.
M,When was the last time a key AFCN player was injured against Cleveland?,"I think it was the first game of this season, but I can't remember which one.",W,How can you not care at all about someone being raped or killed?,I care because it's funny.,W,What would you say is a reasonable amount of change?,"If you're a college student with no money, a few hundred bucks is probably a fair amount of change. It's not a lot, but it's a change.",M,Whats the point in being champion if youre not THE champion?,The point is to be a champion.,M,How necessary would something like an H100i Hydro Series liquid CPU cooler be in a Corsair 250D case build?,"You could just use the H100i, but you'd need to buy a new case.",M,"What about wars fought over water, land, principle?",I think that's what the Romans were going for.,W,Who gets to decide who reproduces?,The person who has the most money,M,What country are you living in?,"I'm living in Sweden, but I'm not a citizen.",M,How the hell does the writer actually think that is a sound argument?,I think it was a typo. I typed in the wrong thing.,M,What the fuck is going on?,I think we just won the game.,M,What am I willing to give up for the cause of helping Wal-mart Workers?,I don't think you have to worry about that.,M,"What the fuck did you just fucking say about me, you little bitch?","I'm not your little friend, buddy!"
W,How long did you date for?,2 years.,M,How did the race feel overall?,"I didn't get to do the race today, but from what I heard it was pretty fun.",W,How do you explain to a five year old that everyone in their class gets cookies and cake and school lunches except for them?,How about that one?,W,What does abuse of prescription pain medication have to do with vaccination against measles?,"It was a joke, don't worry.",M,"How about you put that cost of service on the menu, explicitly?",I think he's saying that the service is included in the price of the meal.,M,How many people do you think would keep watching the NBA in that situation?,I would watch the NBA for the right price.,W,Whats your favorite place to go camping?,Camping? In the wilderness?,M,How was the NBA already not in the shitter?,They're in the shitter,M,What if I told you that owning a non gaming PC and a gaming console initially cost the same as owning a gaming PC?,I'm not even sure that's how it works.,M,How do you count digital votes?,I don't.,M,What monitor do you have?,I have a 27inch Asus VG248QEQ.,M,What exactly did his presence add during the vote?,I was wondering the same
W,How does each partner feel toward debt?,I've had enough of this.,W,"However, making teeth slightly yellow instead of yellow is nice, no?",I like the yellow. Makes me look like a dentist.,W,What has the last century of feminism been for if not to teach us how to be kind & respect people?,I've heard that it's about women not being able to have the right to choose.,W,Who do you think you are responding to?,A troll. It's not hard to figure out.,W,What do you use to doodle?,I use photoshop for my sketch and then use a sketchpad for my drawing.,M,How the fuck can you not agree with that?,I think you're confusing me with someone else who is also a fan of the band.,M,When New Years eve or Guy Fawkes is around?,New years eve!,M,What is inconsistent about Bens season last year?,I'd say his consistency is pretty consistent. He's just inconsistent with his consistency.,M,What if I told you I want to own $10 million worth of properties and drive an Aston Martin?,I don't think that's a very rich person's dream.,M,"What the fuck did you just fucking say about me, you little bitch?",I'm a girl and I'm sorry for what I said about you.,M,What type of games do you prefer?,"Any game, really. I like anything that's fun. I'm pretty much the same as you, except I play games with my friends.",W,What are you saying about my girlfriend?,She's a keeper.
W,Who said you could open your whore mouth?,I think it's the guy who did the whole thing with the guy who was trying to open his mouth...,W,How long have you two been dating?,About two years now.,M,"What the fuck did you just fucking say about me, you little bitch?",Haha!!! I'm so proud of you!,W,When are you and your husband having a second child?,Not soon enough...,W,What part of the country are you in?,"I'm in the South, but I live in a suburb of Dallas.",M,How dare you say that about me!)?,You're not even a real person!,M,What was bad about the story?,It was just a bit of fun. It was just a little bit too long.,W,How come if you dont mind me asking?,I have two dogs.,W,"When you say you had options/freedom for how you learned things, how do you mean?",I meant that I didn't have freedom for it.,M,What was the capitol of Palestine before Jewish immigration?,The capitol of Palestine was Jerusalem. I think the Jewish immigrants took it.,W,What would you say was the most valuable lesson you learned during your service?,"I learned how to play bass, so that was a nice one.",M,What does that even have to do with anything?,It's an example of what you can do with a lot of different things.
