A|So, What kind of experience do you, do you have, then with child care?|qw	B|I guess, I think, uh, I wonder if that worked.|qy^d
B|How about you?|qo	A|Uh, no,|nn
A|What is the nature of your company's business?|qw	B|Well, it's actually, uh,|^h
B|Well, how to you handle that, the long range or medium range planning on finances?|qo	A|Well, actually we haven't had to. Uh, until just recently.|sd
A|But, uh, uh, I was just curious, what, uh, part of the country.|qw	B|Oh, Stockton.|sd
B|How about you?|qo	A|Uh, Cincinnati, actually.|sd
B|Well what other long range goals do you have besides college?|qo	A|Uh, well I think, either my wife or I would like to pursue advanced degrees at some point|sd
A|Well, How would you go about changing it?|qo	B|You know, that's a,|%
A|Uh, so, what do you think, uh, about putting the elderly in a nursing home?|qo	B|Well, I think that it, it varies on on the individual basis.|sv
B|What do you think?|qo	A|Yeah|b
B|What about you?|qo	A|Uh, I work for a fairly large company.|sd
B|Now, how long does it take for your contribution to vest?|qw	A|God, I don't know.|sd
A|Well, uh, could you give me an example of a case where you think that?|qo	B|Well, in a criminal case, say one in which, you know, there is, like, say assault or some such. I think there ought to be a unanimous, uh, vote because by law and by constitution there must be proven beyond a shadow of a reasonable doubt that the person in question did this.|sv
B|But what kind of things are you  looking for?|qo	A|Well, the  Saturns you can get air bags in them.|sd
A|What is your, uh, community, uh, currently doing with regard to recycling?|qw	B|Uh, basically, they're just, uh, having various recycling, uh, bins, uh, located for, uh, trash pickup.|sd
A|uh, what do you think was different ten years ago from now?|qo	B|Well, I would say as, far as social changes go, uh, I think families were more together.|sv
B|Uh, what  do you  think about that?|qo	A|We,|%
B|Well, how, how old are you?|qw	A|I'm twenty-eight.|sd
B|which group are you saying  is the one trying?|qw	A|I'm saying that  the, uh, the group that is just trying to survive from day to day, where both parents are working is more of the majority than the, than the people that have the higher standard of living.|sv
A|but if you had, if you had, uh, parents say or, or, or grandparents, whatever it is, uh, who were ready, who, who you thought might benefit from a nursing home, what do you think you would look for?|qw	B|Uh, well I, actually my dad's, my dad's almost ninety|sd
B|How old are your children?|qw	A|Uh, one's twenty-six|sd
A|So, who's your favorite team?|qw	B|My favorite team is the Pittsburgh Steelers.|sd
B|How about your favorite team?|qw	A|Huh.|%
B|Who's that?|qw	A|It's pretty much going between Washington. They are undefeated. And, uh, Buffalo, New Orleans, and Chicago because Chicago has only lost twice|sd
B|What do you think about, uh, Houston?|qo	A|Houston.|b^m
A|Who, who did they play?|qw	B|They played Dallas.|sd
B|Um, what cities are they looking at?|qw	A|Uh, right now I think this Memphis, they're, they're trying to get the  teams.|sd
A|Uh, what sorts of cases were they?|qw	B|They were just, you know, small time cases where, uh, trailers and banks were involved, you know.|sd
B|What do you do with your budget?|qw	A|What do I do,|t1
A|so uh,  what do|qw	B|We're trying,  we're trying to, uh,|sd
A|So, what do you and your husband do?|qw	B|We're missionaries actually.|sd
A|Overseas, where would you be going?|qw	B|Africa,|sd
A|How long would you be there?|qw	B|About four years.|sd
A|With, with what Church?|qw	B|Uh, we're with Wycliff Bible Translators.|sd
A|So, uh, what, what, uh, what languages do you speak besides English, of course?|qw	B|Well, I have a smattering of about ten different ones,|sd
B|How about you?|qo	A|Well, well right now, I, I'm just a student.|sd
A|What kind of, what kind of jobs have you done?|qw	B|Well, well, I do uh, research in computer science|sd
A|what's the old country music like?|qw	B|Oh, like, like Hank Williams.|sd
B|Well, how old are you?|qw	A|Twenty-eight.|sd
A|How old are you?|qw	B|Oh, I'm, uh, twenty-eight|sd
A|what kind of music is, does  what  songs does he play?|qw	B|It, it,|%
B|So how serious is the, subject of crime in your area?|qo	A|Well, needless to say, here in Washington, D C this is the war zone.|sv
A|And, uh, how about you|qo	B|Well, I think that in some cases, it is warranted.|sv
A|how do you feel about it?|qo	B|Well, they do have, uh, a major internal problem|sv
A|What's your synopsis?|qo	B|Well, I do, I do realize that, uh, uh, the Bush Administration isn't too happy with, with how they're handling their internal, uh, strife, you know, as far as diplomacy is concerned|sd
B|So, what what is the E P A recommending now?|qw	A|Oh, they really didn't propose any solutions.|sd
B|but what  what  about emissions?|qw	A|Yeah.|b
A|What is your name by the way?|qw	B|Uh, I'm Ann.|sd
B|So what's the prevailing thought within the community?|qw	A|Um,|%
B|but what about the community?|qw	A|They, well,|%
A|How's he handling that?|qw	B|Uh, he'd much rather be living alone in his apartment down in Florida.|sd
A|and how do you feel about them?|qo	B|Uh, pretty good, actually.|sd
A|What kind of a degree have you got?|qw	B|I've got a Bachelor's in electrical engineering|sd
A|How long have you been with them?|qw	B|I've been with them for seven years.|sd
B|what about you?|qo	A|Well, I, uh, work in Washington at the Naval Research Laboratory.|sd
A|or, or, or what do you think?|qo	B|Well, that's, that's a really hard question.|^h
B|how do you think that, uh, the viewpoints differ?|qo	A|I think a lot of it is just, uh, the fact that in the U S you're so far removed, uh, in a lot of cases from, say, conflicts|sv
B|I mean what if you don't even realize that you're subject to paying, uh, income tax on something that you purchase mail order?|qw	A|Really, I, I, I don't think that's a valid argument.|sv
A|what do you usually do as far as budgeting?|qo	B|We have a very detailed budget. Because my husband is a finance major.|sd
A|or  or how do you work that?|qo	B|Yes.|ny
B|Now where does the source light go?|qw	A|Like across the street.|sd
B|What about yourself?|qo	A|Huh.|b
A|What are your, uh, what sorts of things would you consider important?|qw	B|Well those and probably the security aspect of it.|sd
A|What type of field of work are you in?|qw	B|I'm in the oil business.|sd
B|so what else do you think is important?|qo	A|Well the, uh,|%
B|What about, what about you?|qo	A|Well, I read, uh,|sd
A|I mean what do you, what, what do you find interesting versus what do you find boring?|qw	B|Well right now trying to keep abreast of, uh, what's going on in Europe, you know, with all the, U S S R's satellites breaking off, trying to become independent and, you know, European community coming together.|sd
A|So, what kind of music you into?|qw	B|Well, I have a, uh, pretty wide taste, uh, in music, ranging from progressive rock to jazz to, uh, lot of different forms of, uh, music.|sd
A|What kind of progressive stuff?|qw	B|Uh, lot of stuff that actually has, uh, ended up becoming popular like, uh, Nirvana and, uh, oh, you know,|sd
A|What's the standard?|qo	B|Uh,|%
A|What do you think you'll, uh, what kind of a car do you think you'll buy next?|qw	B|Well since I just turned forty, I'm thinking about a forty year old man's car, something, uh, something real sporty|sd
B|How about you?|qo	A|Well, I think the next car we get will probably be a well|sd
A|What kind of, what make is the mini van?|qw	B|It's a Mazda.|sd
A|What kind of crime do you think, uh, is the most prevalent in our society?|qw	B|Oh, boy, probably, uh, robberies, people stealing from each other.|sv
A|What, what do you think is, uh, is an appropriate, uh, punishment for some of the various, you know, such as, things such as rape or, or, uh, murder or something like that.|qw	B|Well for, for a lot of the kind of premeditated murders, I think the death penalty is,|sv
B|So, uh, well how long have you been married?|qw	A|Uh, about five years.|sd
B|How about you?|qo	A|Well, I, I just live in a, I live in an apartment now.|sd
A|and the windows have you, what type of windows are you putting in?|qw	B|Huh.|%
B|Oh, what kind of drugs did you use,  if you don't mind?|qw	A|Uh, marijuana, cocaine  and amphetamines.|sd
A|What's that?|qw	B|It's, uh, it's a new, uh, form I think,|sv
A|What school you going to?|qw	B|I'm at East Carolina.|sd
A|Well, what are you studying?|qw	B|Oh, I'm an interior design major,|sd
A|Where do you take your cans?|qw	B|Well, as you say, it takes a while to build it up.|^h
A|Oh, what are their names?|qw	B|Tibby and Liberty.|sd
A|Which is the dog and which is the cat?|qw	B|Tibby is the dog|sd
B|Well, now, so if you were going to have a dinner party, what would you make?|qw	A|Um, let's see,|^h
B|So if you have a, a dinner party and you're going to serve, uh, seafood for supper, what type of, uh, hors d'oeuvres would you serve prior to the meal?|qw	A|Uh,|%
B|And then when you serve the meal, what type of wine would you have with, uh, with the, with seafood?|qw	A|Oh, all these hard questions|^h
B|So you graduated from which high school?|qw	A|Trinity.|sd
A|what about Hawaiian luau.|qw	B|Oh, that would be good.|sv
B|How old is it?|qw	A|It's about six months.|sd
A|what's the best method?|qw	B|I don't know.|h
A|How old is it?|qw	B|She'll be sixteen in May.|sd
A|How long did it take?|qw	B|I think it was like a six week program.|sd
A|and so what do you think, next to salary do you rank, is the most important job benefits?|qw	B|Uh, I would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members.|sv
B|How about yourself?|qo	A|Uh, well I'm,|%
B|What do you do there?|qw	A|Well, um, I'm not actually on the teaching faculty,|sd
A|What kind of, what kind of work do you do?|qw	B|Uh, I'm doing basically system, system design work and, uh, implementation work for the speech, for the speech group uh, here.|sd
A|What about you?|qo	B|Well, um, I'm research stuff here now|sd
B|so, So, what kind of music do you like?|qw	A|Oh, okay.|bk
A|what about, uh, classic rock type stations.|qw	B|Uh, I don't listen to the radio at all.|sd
B|Why is that?|qw	A|Huh?|br
B|Why is that?|qw	A|Why|%
B|Where are you from Tina?|qw	A|Um, I'm from Maryland|sd
A|Uh, what kind of things do you do?|qw	B|Well, um, we do a lot of things with them, you know,|sd
B|What do you do during those, those days?|qw	A|Um, we spend a lot of time at the playground|sd
B|what do, what do you do?|qw	A|I'm a nurse.|sd
A|Are you, where are you from?|qw	B|Um, uh, I'm in Dallas, Texas.|sd
B|what's your husband do?|qw	A|Uh, he, he works for Coca Cola.|sd
B|Which is your favorite?|qw	A|Oh, well, I couldn't live without the family vacations,|sd
A|How about yourself?|qo	B|Well, uh, we, we, as you do, take family vacations, uh, sometimes one a year,|sd
A|And where have you been on these cruises?|qw	B|Uh, Nassau, San Juan, Saint Thomas.|sd
A|Where are you from originally?|qw	B|We're from Illinois originally.|sd
A|What's the best part, from your point of view?|qw	B|I like seeing other countries and shopping in other places.|sd
A|Huh. How long are the cruises?|qw	B|Uh, we've only gone on the seven day cruises.|sd
B|What have you seen lately?|qw	A|Well, uh, it's funny, when I tried, to make the call the other days,|^h
A|What about the speed?|qw	B|If you get,  if you get down on the ground you really can.|sv
A|How was your care at Parkland?|qo	B|Uh, because it was a life threatening situation, it was very good.|sv
B|so now what are your opinions on recycling?|qo	A|Well, I definitely think that we need to start recycling.|sv
A|so, what are, what are your views on capital punishment?|qo	B|I have ambivalent feelings because I don't think it serves as a kind of deterrent we would like to think it is.|sd
