If you were, uh, what do you think about the whole concept of a trial by your peers?	qo	Well, I think it's a good idea.
what do you think about the women that are not having families because they want to continue their business?	qo	That's fine,
How did, How did they get involved in that?	qw	Uh, basically they read in the newspaper that there were open auditions.
Well, I guess, what part of what part of the country do you live in?	qw	I'm in Dallas, Texas.
What have you seen?	qo	The latest movie I've seen that I thought was fantastic was DANCES WITH  WOLVES.
Jimmy , so how do you get most of your news?	qw	Well, I kind of, uh, I watch the, uh, national news every day, for one.
How long would you be there?	qw	About four years.
What do you read?	qw	Well, uh, I'm a Tom Clancy fan.
And where are they at?	qw	Uh, do you know where, uh, Custer is?
what type of exercise do you do?	qw	Uh, I do walking on the treadmill,
But, uh, but, uh, what kind of, uh, what kind of, what kind of grass are you growing?	qw	It's, uh, bermuda.
how do you feel about them?	qo	Well, I keep trying to get away from them,
So what movies have you seen?	qw	Uh, well, I have, uh, seen DANCES WITH WOLVES, which is probably the, the best movie that I have seen lately.
What's your, been your experience?	qw	Well, I, I was going to ask, too, does your wife work?
So, what are your thoughts on dining out?	qw	Well, I, I really choose restaurants more for the quality of food than anything else.
Where, where is Raleigh, in North Carolina?	qw	Uh, well, it's, it's, uh, in terms of north, south I would say it's, uh, a little, a little more towards the northern border of the state and pretty much in the eastern half of it.
What age, uh, if you don't mind me asking.	qw	Well, I'm, I'm, uh, thirty-one.
what about you?	qo	Well, I, uh, work in Washington at the Naval Research Laboratory.
How many, uh.	qw	You said you retired,
What are, what does your city have for gun control if anything?	qw	Well, see Maryland is one of the most,
And how old was he?	qw	He's now five and a half.
How about yours?	qo	It's tiny.
Ellen what kind of a car do you think you're going to buy? and background	qw	Well, as a matter of fact, I was thinking about that the other day,
How do you feel about credit cards?	qo	Personally, I do not care for them. Uh, although I find them a necessity in business and so forth,
how long have  you lived in North Carolina?	qw	Well, not that long.
What have you seen?	qw	One comes to mind here
How do you feel about it?	qo	Well, so, let me make sure,
what's the solution then?	qw	Oh, I have no idea.
Where do we get that from?	qw	Yes,
So, uh, what things do you consider an invasion of privacy?	qo	Ooh, well I don't know.
what is it, uh, the act where they had to cut everything across the board	qw	The Gramm,  the Gramm Rudman Act.
So, what do you do?	qo	I teach,
What did you, what kind of things did you do?	qw	What I did, when I was doing that was mostly pillows, you know, for sofas and so forth,
What kind of pets do you have?	qw	Oh, we have one rotten cat.
Where in North Carolina?	qw	In Raleigh.
And what exactly are they going to do?	qw	Oh, they turn them over to somebody
So how about you?	qo	Yeah.
What other topics have you had?	qw	Um, I've talked about camping with someone.
What do you do for a living?	qw	Uh, I'm a student right now.
What did you teach?	qw	I taught physical education.
What do you do, Jeff?	qw	Uh, I, I'm in, uh, program control for a company up here.
What branch were you in?	qw	Huh?
What islands did you go to?	qw	We went to Oahu and Kauai.
Where?	qw	In Arizona.
whereabouts is that?	qw	That's between Houston and Dallas.
And, uh, how about you	qo	Well, I think that in some cases, it is warranted.
Is that on, what what station?	qw	Uh, I don't even know, to tell you the truth
to where do they get it?	qw	Well, I don't know,
How many square feet do you have?	qw	We have got about, uh, twenty, I'd say about twenty-four hundred.
How do you usually find a, a new restaurant?	qw	Uh, well my husband's kind of the he, he's the ethnic fan.
Anything else you wanted to add?	qo	Well, you had said dinner, you know, you know,
What about you guys?	qo	Well, we, uh,
what did you think about the coverage like over in the, uh, Persian Gulf?	qo	I think they did a great job.
Oh, where are you from?	qw	I grew up most of my childhood in Germany.
How long are we supposed to talk on this?	qw	They tell us when we're through.
uh, golly. What's this white powder that, that, uh, that you mix with water and gives a thick sauce?	qw	A white powder.
What are dialing services?	qw	Where they, uh, intend to sell you things.
Well, what do you think about it?	qo	Well, um, most of the stuff up until now, in the recent months, I, I, I don't have any problem with.
How do you get your news mostly?	qw	Generally, I get most of my news from, uh, the radio.
What type of lawn and garden work do you do?	qo	Well, I do it all
