	op_id	op_gender	post_id	q	is_qy	q_score	oov
243539	4584091	W	243539	Have you ever heard that one?	False	4.690576038690608e-07	False
135597	53750474	W	135597	Press Release: Déjà vu?	False	2.2830070102175526e-06	False
532025	65996996	W	532025	What's at stake?	False	2.0386511670245078e-05	False
354643	49930535	W	354643	Why wasn't the President concerned that his top security advisor was vulnerable to Russian President Vladimir Putin?	False	2.2514121181260727e-05	False
356840	49930535	W	356840	How to simultaneously empower and protect women who want to serve their country?	False	3.420630707251515e-05	False
520503	50863205	W	520503	And, the price of freedom?	False	5.1317242718895706e-05	False
8634	19169390	W	8634	They better be looking ahead to see what are the consequences to this decision?	False	5.383202693165501e-05	False
535807	652823	W	535807	Are Nigeria's Leaders Doing Enough to Defeat Boko Haram?	True	8.560145643610184e-05	False
9433	19169390	W	9433	Do you think you can make it?	True	0.00011896370597341832	False
10505	19169390	W	10505	Will you help?	False	0.00015803070923203766	False
448536	31773666	W	448536	Share this post and ask: when is enough, enough?	False	0.000249805608512621	False
65052	19770004	W	65052	Interested in interning in Congresswoman Lee's office?	False	0.00033744465316454253	False
243864	4584091	W	243864	When a public school continues to fail to meet basic standards, what happens?	False	0.0003539286574704148	False
145549	72264613	W	145549	Couldn't make it?	False	0.0003677600182421248	False
194127	31963241	M	194127	Who can view the content of the recent Planned Parenthood videos and not come away repulsed by these horrific practices?	False	0.0003684300555085729	False
354700	49930535	W	354700	To paraphrase the question Senator Joseph Welch once put to Joe McCarthy – Have you no sense of decency, House Republicans, at long last?	False	0.0004252611269128792	False
532359	65996996	W	532359	Who was your favorite teacher?	False	0.00043109894298165585	False
523424	32332773	M	523424	Do you know what makes me gag?	True	0.0007715471654057282	False
83234	23984618	W	83234	But what exactly does it do?	False	0.0008487166570266824	False
300772	83458649	W	300772	Could I really sit on the sidelines?	False	0.0008662443243498963	False
135652	53750474	W	135652	"Joe Scarborough, a former Congressman and host of ""Morning Joe"" said, ""This guy is bad news, my fellow Republicans...Speak truth to power…Why aren't more Republicans willing to stand up?"	False	0.0009187762477339545	False
511682	62264117	W	511682	Is it easier for you to relate to what this mother is going through?	True	0.0009446700915060058	False
243987	4584091	W	243987	Did you know that cuts to our nation's military could reduce our Army force down to where it was before 9-11 in just a few years?	True	0.0009945116353311523	False
199219	39647325	W	199219	Interested?	False	0.0010866615538006608	False
218792	37842323	W	218792	Did you know that an estimated 44 million women in the U.S. are affected by heart disease and stroke?	True	0.0013902005207049317	False
301071	83458649	W	301071	Can they count on your help right now?	False	0.0014962923483550217	False
209048	19189340	W	209048	What advice can you share with women who would like to follow in your footsteps?	False	0.0015142487882928712	False
145622	72264613	W	145622	Did you miss it?	True	0.001598609223433245	False
243925	4584091	W	243925	So, the scheduling wait times might look okay on paper, but what good is that if veteran patients aren't actually seeing doctors?	False	0.0019014262080290223	False
535887	652823	W	535887	Isn't It Ironic?	True	0.0022236410556069064	False
464342	42685690	W	464342	Will you contribute $5 right now to help us continue the momentum?	False	0.002321728462615247	False
422306	70715649	W	422306	"Former Representative Richard Anderson (R - Iowa House District 97): ""Do I support Joni Ernst?"	False	0.0023952202042442083	False
154742	10174826	W	154742	"Here's an excerpt:  ""Why did it take so long to get the Bronze Star and 6 other medals he earned?"	False	0.002438464201908741	False
239943	26488741	M	239943	It's the first week of fall – what are your plans for the season?	False	0.0025137447233549715	False
243841	4584091	W	243841	Remember these promises from President Obama about his healthcare law?	False	0.0025384322166873696	False
521226	50863205	W	521226	Do you have an Alaskan friend, community or family member who should be recognized?	True	0.0025485878143208796	False
200409	39647325	W	200409	Need help?	False	0.0026006144515985374	False
25940	60460662	W	25940	Do you have a great photo that represents New Hampshire in springtime?	True	0.002693623122995481	False
520802	50863205	W	520802	What better way to remember and honor Uncle Ted than getting out and playing in this beautiful Alaska summer!?	False	0.002698207456958146	False
332710	5985358	W	332710	And I'm saying to myself, doesn't anybody see what this woman is doing?	False	0.0027009547300433923	False
136386	53750474	W	136386	Really, Congressman?	False	0.0028031728216980634	False
245015	4584091	W	245015	"Did you see the Paul Harvey ""God Made a Farmer"" ad during the Super Bowl?"	True	0.0030283684969547586	False
403837	11299132	W	403837	Sad but true it's the last weekend before Labor Day...summer where did you go?	False	0.003075684742014362	False
403865	11299132	W	403865	Why don't we tell these stories more?	False	0.003179061635176561	False
389849	86569077	W	389849	Will you lend me your voice by signing up for our Thunderclap and pledging to post our message on Twitter or Facebook automatically on Monday at 2pm?	False	0.0031947905752950367	False
463842	42685690	W	463842	Notice anything interesting?	False	0.0032097717639923973	False
404028	11299132	W	404028	In speeches this afternoon, I recalled my first interview at General Motors and being asked why would a woman want to work there?	False	0.003419540584655212	False
354818	49930535	W	354818	Where is Congress?	False	0.003465975549590161	False
532536	65996996	W	532536	How do we make sure our burgers are safe for July 4th?	False	0.0035720902001257215	False
535823	652823	W	535823	Did you know that 1 in 3 American women are living with heart disease or have suffered a stroke?	True	0.003580860989462309	False
136461	53750474	W	136461	This is how Mitt Romney answers the question about Rush Limbaugh's vicious attack on women?	False	0.00359544671818246	False
136398	53750474	W	136398	What does he work on?	False	0.0036534271946719876	False
119391	98451847	W	119391	Who opposes it?	False	0.003928805281079417	False
398729	77234050	W	398729	How do we, as a nation, come together and heal?	False	0.003970743226604179	False
204972	83432188	W	204972	Did you know that an estimated 43 million women in the U.S. are affected by heart disease?	True	0.004319303021647403	False
135790	53750474	W	135790	Voting in New Hampshire?	False	0.004379152723663515	False
200385	39647325	W	200385	Need help?	False	0.0046343539373779885	False
10176	19169390	W	10176	Who's awesome?	False	0.004716423041451034	False
456210	20437142	W	456210	Remember, Alice our superstar volunteer who celebrated her 90th birthday during the campaign?	False	0.004761076526607511	False
532422	65996996	W	532422	Can you agree we need to change this?	False	0.004928064356019446	False
8657	19169390	W	8657	"Tulsi added, ""So I think it's an important time and question for us, in the United States, to ask: Is Saudi Arabia willing to be our ally?"	False	0.005317616727379071	False
335724	94349176	W	335724	Did you know there have been 3 meningitis deaths in Los Angeles County this year alone?	True	0.005360316961277589	False
191130	62031614	W	191130	Do I have your vote today?	True	0.005370841614614652	False
356697	49930535	W	356697	Is this what zero tolerance means in the military?	True	0.005399328799895353	False
218713	37842323	W	218713	Are you as excited as Rosa that we are finally going to see a woman on #TheNew10?	True	0.005477634019615318	False
27544	60460662	W	27544	Why would those who denounce abortion not support an organization that provides family planning services & helps prevent unplanned pregnancies?	False	0.0055298782737964736	False
200096	39647325	W	200096	Need assistance with a federal agency?	False	0.005721839285787511	False
200395	39647325	W	200395	Need help?	False	0.005759303442587571	False
199821	39647325	W	199821	Read more here: http://esty.house.gov/constituent-corner-stories-from-around-connecticuts-5th-district  Do you or a loved one need assistance with veteran's benefits?	False	0.005773415548458116	False
10509	19169390	W	10509	"...""  Did you hear the big news?"	False	0.005782862332397998	False
27042	60460662	W	27042	What New Hampshire businesses have been able to increase their exports through the assistance of the Export-Import Bank?	False	0.005827612503157109	False
9376	19169390	W	9376	-- a midterm election cycle, whose stars will rise on Capitol Hill in 2014?	False	0.005846118646790188	False
234963	63776107	W	234963	Which library events do you recommend?	False	0.005893450443377413	False
145710	72264613	W	145710	Do you have your #TeamSinema yard sign?	True	0.005967495904445008	False
145769	72264613	W	145769	Do you have a #TeamSinema yard sign?	True	0.005967495904445008	False
135608	53750474	W	135608	Rep Guinta and the other Republicans need to answer this question: Why couldn't you put politics aside just once and keep your wish to cut the Affordable Care Act and Planned Parenthood and to fly the Confederate flag at Veterans Cemeteries out of the ZIKA funding bill?	False	0.006394505779574344	False
456130	20437142	W	456130	Missed Tammy's speech?	False	0.006458938758694521	False
72890	83239606	W	72890	Did you know manufacturing provides over 30,900 jobs in the 35th District?	True	0.006470781750855137	False
389857	86569077	W	389857	What are you hoping to hear the President talk about in tonight's #SOTU speech?	False	0.006500083544161095	False
279706	70359503	W	279706	If my Republican colleagues are so concerned about the life of the child,  why isn't their priority to put forth a plan for public education?	False	0.0065208638888200054	False
403771	11299132	W	403771	Please, will you join me at this critical rally on January 15 in Warren?	False	0.006585596969438945	False
